externalReference;ownerName;fullWidth_mm;fullHeight_mm;requiredLength;tolerance;quantity;leftCount;rightCount;requiredColorName;materialBarCode;relevantDim;isMeasurementNeeded;dueDate;typeCode;subtypeCode;attributes
"123";"Jola, Kecskemét";2390;3370;2385;;1;1;0;"RAL 7035";NP-T;Width;false;2026-08-14;NP;SIN;meghajtas=motoros
"123";"Jola, Kecskemét";2390;3370;2385;;1;1;0;"RAL 7035";NP-TF;Width;false;2026-08-14;NP;SIN;meghajtas=motoros
"123";"Jola, Kecskemét";2390;3370;2315;;1;1;0;"RAL 7035";NP-SZ;Width;false;2026-08-14;NP;SIN;meghajtas=motoros
"123";"Jola, Kecskemét";2390;3370;3268;;1;1;0;"RAL 7035";NP-SL;Width;false;2026-08-14;NP;SIN;meghajtas=motoros
"123";"Jola, Kecskemét";2390;3370;2348;;1;1;0;"RAL 7035";NP-ROLL70-6000;Width;false;2026-08-14;NP;SIN;meghajtas=motoros
"123";"Jola, Kecskemét";2390;3370;2280;;1;1;0;"RAL 7035";NP-BAR12-4000;Width;false;2026-08-14;NP;SIN;meghajtas=motoros
"124";"Jola, Kecskemét";2370;3370;2365;;2;0;2;"RAL 7035";NP-T;Width;false;2026-08-14;NP;SIN;meghajtas=motoros
"124";"Jola, Kecskemét";2370;3370;2365;;2;0;2;"RAL 7035";NP-TF;Width;false;2026-08-14;NP;SIN;meghajtas=motoros
"124";"Jola, Kecskemét";2370;3370;2295;;2;0;2;"RAL 7035";NP-SZ;Width;false;2026-08-14;NP;SIN;meghajtas=motoros
"124";"Jola, Kecskemét";2370;3370;3268;;2;0;2;"RAL 7035";NP-SL;Width;false;2026-08-14;NP;SIN;meghajtas=motoros
"124";"Jola, Kecskemét";2370;3370;2328;;2;0;2;"RAL 7035";NP-ROLL70-6000;Width;false;2026-08-14;NP;SIN;meghajtas=motoros
"124";"Jola, Kecskemét";2370;3370;2260;;2;2;0;"RAL 7035";NP-BAR12-4000;Width;false;2026-08-14;NP;SIN;meghajtas=motoros
"136";"RedőnyTech";3770;2320;3765;;1;1;0;"RAL 9001";NP-T;Width;false;2026-08-14;NP;SIN;meghajtas=motoros
"136";"RedőnyTech";3770;2320;3765;;1;1;0;"RAL 9001";NP-TF;Width;false;2026-08-14;NP;SIN;meghajtas=motoros
"136";"RedőnyTech";3770;2320;3695;;1;1;0;"RAL 9001";NP-SZ;Width;false;2026-08-14;NP;SIN;meghajtas=motoros
"136";"RedőnyTech";3770;2320;2218;;1;1;0;"RAL 9001";NP-SL;Width;false;2026-08-14;NP;SIN;meghajtas=motoros
"136";"RedőnyTech";3770;2320;3728;;1;1;0;"RAL 9001";NP-ROLL78-7000;Width;false;2026-08-14;NP;SIN;meghajtas=motoros
"136";"RedőnyTech";3770;2320;3660;;1;1;0;"RAL 9001";NP-BAR12-4000;Width;false;2026-08-14;NP;SIN;meghajtas=motoros
"142";"Rega Rolltech";3360;2540;3330;;1;0;1;"RAL 1015";NP-T;Width;false;2026-08-14;NP;CIP;meghajtas=motoros
"142";"Rega Rolltech";3360;2540;3355;;1;0;1;"RAL 1015";NP-TF;Width;false;2026-08-14;NP;CIP;meghajtas=motoros
"142";"Rega Rolltech";3360;2540;3237;;1;0;1;"RAL 1015";NP-CZ;Width;false;2026-08-14;NP;CIP;meghajtas=motoros
"142";"Rega Rolltech";3360;2540;2437;;1;0;1;"RAL 1015";NP-CL;Width;false;2026-08-14;NP;CIP;meghajtas=motoros
"142";"Rega Rolltech";3360;2540;2437;;1;0;1;"RAL 1015";NP-CLB;Width;false;2026-08-14;NP;CIP;meghajtas=motoros
"142";"Rega Rolltech";3360;2540;2437;;1;0;1;"RAL 1015";NP-CLT;Width;false;2026-08-14;NP;CIP;meghajtas=motoros
"142";"Rega Rolltech";3360;2540;3245;;1;0;1;"RAL 1015";NP-ROLL70-6000;Width;false;2026-08-14;NP;CIP;meghajtas=motoros
"142";"Rega Rolltech";3360;2540;3195;;2;0;2;"RAL 1015";NP-BAR12-4000;Width;false;2026-08-14;NP;CIP;meghajtas=motoros
"143";"Rega Rolltech";3350;2540;3320;;1;1;0;"RAL 1015";NP-T;Width;false;2026-08-14;NP;CIP;meghajtas=motoros
"143";"Rega Rolltech";3350;2540;3345;;1;1;0;"RAL 1015";NP-TF;Width;false;2026-08-14;NP;CIP;meghajtas=motoros
"143";"Rega Rolltech";3350;2540;3227;;1;1;0;"RAL 1015";NP-CZ;Width;false;2026-08-14;NP;CIP;meghajtas=motoros
"143";"Rega Rolltech";3350;2540;2437;;1;1;0;"RAL 1015";NP-CL;Width;false;2026-08-14;NP;CIP;meghajtas=motoros
"143";"Rega Rolltech";3350;2540;2437;;1;1;0;"RAL 1015";NP-CLB;Width;false;2026-08-14;NP;CIP;meghajtas=motoros
"143";"Rega Rolltech";3350;2540;2437;;1;1;0;"RAL 1015";NP-CLT;Width;false;2026-08-14;NP;CIP;meghajtas=motoros
"143";"Rega Rolltech";3350;2540;3235;;1;1;0;"RAL 1015";NP-ROLL70-6000;Width;false;2026-08-14;NP;CIP;meghajtas=motoros
"143";"Rega Rolltech";3350;2540;3185;;2;2;0;"RAL 1015";NP-BAR12-4000;Width;false;2026-08-14;NP;CIP;meghajtas=motoros
"144";"Rega Rolltech";4020;2640;3990;;1;1;0;"RAL 1015";NP-T;Width;false;2026-08-14;NP;CIP;meghajtas=motoros
"144";"Rega Rolltech";4020;2640;4015;;1;1;0;"RAL 1015";NP-TF;Width;false;2026-08-14;NP;CIP;meghajtas=motoros
"144";"Rega Rolltech";4020;2640;3897;;1;1;0;"RAL 1015";NP-CZ;Width;false;2026-08-14;NP;CIP;meghajtas=motoros
"144";"Rega Rolltech";4020;2640;2537;;1;1;0;"RAL 1015";NP-CL;Width;false;2026-08-14;NP;CIP;meghajtas=motoros
